"2018-10-13 00:00:19 [Thread-17] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Closing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@85a000e: startup date [Fri Oct 12 23:58:01 IST 2018]; root of context hierarchy
""2018-10-13 00:00:22 [localhost-startStop-1] INFO  org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
""2018-10-13 00:00:22 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2018-10-13 00:00:22 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
""2018-10-13 00:00:22 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'webMvcMetricsFilter' to: [/*]
""2018-10-13 00:00:22 [localhost-startStop-1] INFO  o.s.b.w.s.DelegatingFilterProxyRegistrationBean - Mapping filter: 'springSecurityFilterChain' to: [/*]
""2018-10-13 00:00:22 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'httpTraceFilter' to: [/*]
""2018-10-13 00:00:22 [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean - Servlet dispatcherServlet mapped to [/]
""2018-10-13 00:00:22 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Starting...
""2018-10-13 00:00:22 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Start completed.
""2018-10-13 00:00:22 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Building JPA container EntityManagerFactory for persistence unit 'default'
""2018-10-13 00:00:22 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
""2018-10-13 00:00:22 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
""2018-10-13 00:00:22 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
""2018-10-13 00:00:23 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6acb84a, org.springframework.security.web.context.SecurityContextPersistenceFilter@37ec0b99, org.springframework.security.web.header.HeaderWriterFilter@60d77d09, org.springframework.security.web.csrf.CsrfFilter@55203f84, org.springframework.security.web.authentication.logout.LogoutFilter@f7cdad8, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@522b624e, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@589bb291, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@3bf534e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@467d500b, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1d9952f8, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@77ffa1d7, org.springframework.security.web.session.SessionManagementFilter@6364c46e, org.springframework.security.web.access.ExceptionTranslationFilter@8e2dd2, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@18bd23f3]
""2018-10-13 00:00:23 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
""2018-10-13 00:00:24 [restartedMain] INFO  o.s.d.r.w.RepositoryRestHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@3a41263a: startup date [Sat Oct 13 00:00:20 IST 2018]; root of context hierarchy
